name	sex	n
Adlina	flickor	NA
Adlina	pojkar	NA
Adm	flickor	NA
Adm	pojkar	NA
Adma	flickor	NA
Adma	pojkar	NA
Admir	flickor	NA
Admir	pojkar	NA
Adna	flickor	9
Adna	pojkar	NA
Adnaan	flickor	NA
Adnaan	pojkar	2
Adnan	flickor	NA
Adnan	pojkar	22
Adni	flickor	NA
Adni	pojkar	NA
Adomas	flickor	NA
Adomas	pojkar	NA
Adon	flickor	NA
Adon	pojkar	NA
Adonai	flickor	NA
Adonai	pojkar	NA
Adonay	flickor	NA
Adonay	pojkar	2
Adonia	flickor	NA
Adonia	pojkar	NA
Adonis	flickor	NA
Adonis	pojkar	3
Adora	flickor	8
Adora	pojkar	NA
Adrean	flickor	NA
Adrean	pojkar	NA
Adria	flickor	NA
Adria	pojkar	NA
Adriaan	flickor	NA
Adriaan	pojkar	NA
Adrian	flickor	NA
Adrian	pojkar	398
Adrián	flickor	NA
Adrián	pojkar	4
Adriana	flickor	28
Adriana	pojkar	NA
Adrianna	flickor	NA
Adrianna	pojkar	NA
Adrianne	flickor	NA
Adrianne	pojkar	NA
Adriano	flickor	NA
Adriano	pojkar	6
Adriatik	flickor	NA
Adriatik	pojkar	NA
Adriel	flickor	NA
Adriel	pojkar	5
Adrien	flickor	NA
Adrien	pojkar	2
Adrienne	flickor	17
Adrienne	pojkar	NA
Adrijan	flickor	NA
Adrijan	pojkar	2
Adrijana	flickor	NA
Adrijana	pojkar	NA
Adrina	flickor	5
Adrina	pojkar	NA
Adrita	flickor	NA
Adrita	pojkar	NA
Advait	flickor	NA
Advait	pojkar	NA
Advik	flickor	NA
Advik	pojkar	3
Advika	flickor	2
Advika	pojkar	NA
Advin	flickor	NA
Advin	pojkar	NA
Advit	flickor	NA
Advit	pojkar	2
Adyaan	flickor	NA
Adyaan	pojkar	NA
Adyan	flickor	NA
Adyan	pojkar	NA
Aedan	flickor	NA
Aedan	pojkar	NA
Aegir	flickor	NA
Aegir	pojkar	2
Aela	flickor	NA
Aela	pojkar	NA
Aelia	flickor	NA
Aelia	pojkar	NA
Aeneas	flickor	NA
Aeneas	pojkar	NA
Afaf	flickor	NA
Afaf	pojkar	NA
Affan	flickor	NA
Affan	pojkar	2
Affe	flickor	NA
Affe	pojkar	2
Afia	flickor	NA
Afia	pojkar	NA
Afifa	flickor	NA
Afifa	pojkar	NA
Afifah	flickor	NA
Afifah	pojkar	NA
Afnaan	flickor	NA
Afnaan	pojkar	NA
Afnan	flickor	15
Afnan	pojkar	NA
Afonso	flickor	NA
Afonso	pojkar	NA
Afra	flickor	NA
Afra	pojkar	NA
Afrah	flickor	NA
Afrah	pojkar	NA
Afram	flickor	NA
Afram	pojkar	NA
Afrata	flickor	NA
Afrata	pojkar	NA
Afreen	flickor	NA
Afreen	pojkar	NA
Afrida	flickor	NA
